Fundamental e Medio (particular),Fundamental e Medio (publico),Graduacao e Pos (particular),Graduacao e Pos (publico),Medio comp e Sup incomp (+25),Pre Escola (particular),Pre Escola(publico),Superior completo (+25)
40,10,53,20,60,32,0,70
40,10,50,20,60,30,0,70
40,10,51,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,51,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,51,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,51,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,59,20,60,39,1,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,53,20,60,32,0,70
40,10,50,20,60,30,0,70
40,10,53,20,60,32,0,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,51,20,60,31,0,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,59,20,60,39,1,70
40,10,51,20,60,31,0,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,59,20,60,39,1,70
40,10,57,20,60,35,1,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,52,20,60,31,0,70
40,10,54,20,60,34,0,70
40,10,50,20,60,30,0,70
40,10,56,20,60,34,0,70
40,10,57,20,60,37,1,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,53,20,60,34,0,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,50,20,60,30,0,70
40,10,51,20,60,30,0,70
